,text_id,text,label_0_mean,label_0_std,label_0_last,label_1_mean,label_1_std,label_1_last,label,pred,agreement_level,agreement_factor,confidence,variability,correctness,is_correct
0,1,    No way Jose!!,0.842477023601532,0.23200440463715924,0.9954588413238525,0.15752298245206475,0.2320044243677839,0.004541161935776472,0,0,A++,1.0,0.842477023601532,0.23200440463715924,1.0,True
1,2,"Good god, what is the matter with people ?",0.671099990606308,0.253320889425783,0.9617753028869629,0.32890000691016513,0.2533208663864597,0.0382247194647789,0,0,A++,1.0,0.671099990606308,0.253320889425783,1.0,True
2,3,        Um the Kurds are helping the ppl Of the Ukraine stop Putin/Russian military from overthrowing the Ukrainian government. Trump Endangered the lives of many by cutting US aid in an effort to extort the Ukrainian president for help winning the election Which led to his impeachment .,0.6856263677279154,0.1597632037249751,0.7842283248901367,0.314373642206192,0.15976319332748504,0.21577173471450806,0,0,A+,0.8,0.6856263677279154,0.1597632037249751,0.8,True
3,4,What is WRONG with these people?,0.9810091058413187,0.023864124026349867,0.9973317384719849,0.0189908635802567,0.023864096913319605,0.002668264787644148,0,0,A++,1.0,0.9810091058413187,0.023864124026349867,1.0,True
4,5,  This earpiece too plus a wire on his sleeves! #CheatingJoeBiden                    ANYONE want to take a stab at telling me what this is.....saw it last night but apparently James Woods saw it also.... ,0.9451272487640381,0.05251781134231109,0.9912170171737671,0.05487273974965016,0.05251781553731402,0.008782952092587948,0,0,A+,0.8,0.9451272487640381,0.05251781134231109,1.0,True
5,6,    Please lost you yelling insanely at the sky on Nov 3 losers,0.2885775752365589,0.30658584901416525,0.012144457548856735,0.7114224235216776,0.30658579383204326,0.9878554940223694,1,1,A+0,0.6,0.7114224235216776,0.30658579383204326,1.0,True
6,7,Dang it!!,0.9612289468447367,0.03429982412271808,0.9973330497741699,0.038771054707467556,0.0342998289961459,0.002666921354830265,0,0,A++,1.0,0.9612289468447367,0.03429982412271808,1.0,True
7,8,"      Just take the L g, or find better evidence",0.8506625890731812,0.2449359275238964,0.9946255087852478,0.14933738159015775,0.24493592688003157,0.005374485161155462,0,0,A++,1.0,0.8506625890731812,0.2449359275238964,1.0,True
8,9,Elections have consequences 101:  - Republican voters elected GOP US Senators to prevent leftwing fascists from subverting the SCOTUS;  - Republican voters elected GOP US Senators to put conservatives on the SCOTUS.  Vote    #MAGA     #KAG2020  ,0.849634031454722,0.13831515913298062,0.9056571125984192,0.15036596606175104,0.13831518855055297,0.09434287995100021,0,0,A0,0.6,0.849634031454722,0.13831515913298062,1.0,True
9,10,    I'm in the never catagory.,0.9033383329709371,0.08140228473483196,0.821353554725647,0.09666164529820283,0.08140230980445609,0.17864644527435303,0,0,A++,1.0,0.9033383329709371,0.08140228473483196,0.8,True
10,11,He’s an idiot... pure and simple. How sad for us!,0.14162233596046767,0.11546601039492504,0.010123241692781448,0.8583776752154032,0.11546604344422884,0.9898768067359924,1,1,A++,1.0,0.8583776752154032,0.11546604344422884,1.0,True
11,12,"    U.S. flu deaths 2015-16: 23,000 U.S. flu deaths 2016-17: 38,000 U.S. flu deaths 2017-18: 61,000 U.S. flu deaths 2018-19: 34,200 U.S. flu deaths 2019-20: 24,000  U.S. COVID deaths in 6 months: 167,000  The mask captures droplets, reducing transmission, lowering the disease's R0.",0.9645660122235616,0.044678205518138996,0.9934012293815613,0.0354339595263203,0.04467818040238346,0.006598729640245438,0,0,A++,1.0,0.9645660122235616,0.044678205518138996,1.0,True
12,13,and y’all niggas wanna vaca to FL now of all times 🤣 y’all really just dumb,0.1559151241866251,0.24670127605755807,0.00644536642357707,0.844084898630778,0.2467012699774597,0.9935546517372131,1,1,A++,1.0,0.844084898630778,0.2467012699774597,1.0,True
13,14,  You are a liar!!! #BidenCrimeFamilyExposed  Biden is a threat to national security!! #Trump2020 and #VoteRed2020ToSaveAmerica,0.2964234600464503,0.24938682427372139,0.15351352095603943,0.703576515118281,0.24938682860731146,0.8464864492416382,1,1,A+0,0.6,0.703576515118281,0.24938682860731146,0.8,True
14,15,"    Is it real but if its Waziristan,obviously soldiers must b dealing wid terrorists who kill our citizens &amp; soldiers ( as four PakArmy men hv been martyred even yesterday) There is no comparison of TTP /their abettors wid innocent unarmed Kashmiris or George Floyd   ",0.788066565990448,0.16583720599500162,0.9795540571212769,0.2119334451854229,0.16583721255295664,0.020445946604013443,0,0,A++,1.0,0.788066565990448,0.16583720599500162,1.0,True
15,16,"The stupidity of Democrats &amp; so-called ""Liberals"" never ceases to amaze me......",0.6693694988886515,0.20522597078144492,0.7402971982955933,0.33063048621018726,0.20522598824605828,0.25970280170440674,0,0,A0,0.6,0.6693694988886515,0.20522597078144492,0.8,True
16,17,"  If it’s for the people then nothing needs to be in it except for stimulus for the people, covid supplies and help for small businesses! Leave the other crap out of it! Not everyone gets unemployment so from April to Aug with no help is too long. 🇺🇸🇺🇸",0.8496291041374207,0.2251888281019831,0.995049774646759,0.15037090998763838,0.22518879127448527,0.004950245376676321,0,0,A++,1.0,0.8496291041374207,0.2251888281019831,1.0,True
17,18,Words fail me...this is awful..just awful #HeartBreaking #BlackLivesMatter #PoliceBrutality #PoliceViolence,0.9789620637893677,0.020968809751042043,0.996590256690979,0.021037901130815346,0.02096877984963463,0.0034097004681825638,0,0,A++,1.0,0.9789620637893677,0.020968809751042043,1.0,True
18,19,He even admitted it!!  #voterfruad,0.9001259009043375,0.0920813836460008,0.9715852737426758,0.09987410220007102,0.09208139107813366,0.028414683416485786,0,0,A++,1.0,0.9001259009043375,0.0920813836460008,1.0,True
19,20,Twitter Slapped a 'Glorifying Violence' Label on a Trump Tweet That Threatened George Floyd Protesters in Minneapolis With Getting Shot  ,0.9337837894757589,0.10549269902492948,0.996775209903717,0.06621623559234042,0.10549272929190072,0.0032247796189039946,0,0,A++,1.0,0.9337837894757589,0.10549269902492948,1.0,True
20,21,🔴WHY IS THE RIGHT ALWAYS SO DAMN WRONG⁉️ Bikers for Founder Says the Left 'Planned' the Coronavirus Pandemic to Hurt Trump  ,0.8977318207422892,0.08969740420313367,0.9881707429885864,0.10226820316165686,0.08969735389972637,0.011829313822090626,0,0,A+,0.8,0.8977318207422892,0.08969740420313367,1.0,True
21,22,"Trump tweeted """"Stock Market starting to look very good to me!"""" a month after administration officials &amp; senators held a classified coronavirus briefing. It'd be nice to see his tax returns and learn whether he profited from inside info while telling Americans a rosier tale.  ",0.9724509318669637,0.02506421349687026,0.9926142692565918,0.027549067201713722,0.025064227982819116,0.007385727949440479,0,0,A++,1.0,0.9724509318669637,0.02506421349687026,1.0,True
