text_id,text,label_0_mean,label_0_std,label_0_last,label_1_mean,label_1_std,label_1_last,label,pred,agreement_level,agreement_factor,comment_id,confidence,variability,correctness,is_correct,agreement_factor_rd
0, MR OBAMA IF YOUR COMPLAINING ABOUT THE WAY THEY PROTEST AND NOT WHY THEY ARE PROTESTING   YOU  ARE  THE  PROBLEM!  #BLACKLIVESMATTER,0.7769004702568054,0.19570857836191174,0.9970881342887878,0.22309953742660577,0.19570859762854872,0.0029119041282683,0,0,A+,0.8,1000_test,0.7769004702568054,0.19570857836191174,0.9970881342887878,True,0.8
1, The High Priest of COVID-19 Speaks.... Bill Gates is a direct and present danger to humanity! His Father was on Planned Parenthood... How many MILLIONS of BLACK BABIES have they killed? #BLM #BlackLivesMatter <url>,0.39661135450005525,0.357260215221521,0.045499388128519,0.6033886492252349,0.3572602296914304,0.954500675201416,1,1,A+0,0.6,1000_train,0.6033886492252349,0.3572602296914304,0.954500675201416,True,0.6
2,   Do you know what sarcasm means?,0.93511883020401,0.06799833296946052,0.9982995390892028,0.06488116099499164,0.06799831532162769,0.0017004560213536,0,0,A++,1.0,1001_test,0.93511883020401,0.06799833296946052,0.9982995390892028,True,1.0
3,"Politicians,  not scientists. Like we are going to believe them. The CDC and FDA reputations have been trashed by trump and his sycophants. #CDC #FDA",0.7646970987319947,0.20491343946293727,0.9918572902679444,0.23530289139598604,0.20491341151012582,0.0081427125260233,0,0,A++,1.0,1001_train,0.7646970987319947,0.20491343946293727,0.9918572902679444,True,1.0
4,"   Four more years of tRump &amp; our country will cease to exist as we know it. He's dragged us down, to be sure, but we're NOT down for the count. We're better than this. We can do better than HIM! I want peace &amp; decency in my life which is why I voted for #JoeBiden &amp; #KamalaHarris",0.8636734008789062,0.20085570917075204,0.9972821474075316,0.13632661360315976,0.20085571449522335,0.0027178896125406,0,0,A0,0.6,1002_dev,0.8636734008789062,0.20085570917075204,0.9972821474075316,True,0.6
5,Racist nazi will change only after death,0.3128284754231571,0.41573773365967387,0.0101460395380854,0.6871715009212493,0.41573772890210786,0.9898539185523988,1,1,A+0,0.6,1002_train,0.6871715009212493,0.41573772890210786,0.9898539185523988,True,0.6
6," Global warming will kill COVID19, you monster!",0.2593759458512067,0.3142110610785315,0.0355606824159622,0.7406240344047547,0.3142110850081197,0.9644392728805542,0,1,A0,0.6,1003_dev,0.2593759458512067,0.3142110610785315,0.0355606824159622,False,0.6
7,"   60,000 of those deaths caused by the Dem Govs of 5 states sending Covid patients into nursing homes.  Ouch.  They are murderers.  What else ya got? <url>",0.4592003107070923,0.1976696774037347,0.2268046140670776,0.5407996892929077,0.1976696514847184,0.7731953859329224,1,1,A+0,0.6,1003_test,0.5407996892929077,0.1976696514847184,0.7731953859329224,True,0.6
8,"I realize,  that experts want to shift funding from police to social services. <url> But that’s NOT what protestors mean when they say #DefundPolice. Just ask  <url> It’s clear in the video, too: <url>",0.9592662453651428,0.08469949700799569,0.9993172883987428,0.04073376639280462,0.08469947419345916,0.0006827276665717,0,0,A++,1.0,1004_test,0.9592662453651428,0.08469949700799569,0.9993172883987428,True,1.0
9,  Just because he’s taller. No one looks up to either of you crooks,0.4960664134472609,0.3781768557840618,0.0059762205928564,0.5039335601963103,0.3781768440394876,0.9940237402915956,1,1,A+0,0.6,1004_train,0.5039335601963103,0.3781768440394876,0.9940237402915956,True,0.6
10, No. W Bush is still worse...Trump is battling Andrew Johnson for 2nd worst <url>,0.9124062061309814,0.13477294387425745,0.9954336285591124,0.08759381333366031,0.13477293929018053,0.0045663719065487,0,0,A0,0.6,1005_train,0.9124062061309814,0.13477294387425745,0.9954336285591124,True,0.6
